Address,PriceInAscendingOrder,LandArea,FloorArea,PropertyLinks,Timestamp
"['Unit 4, 4 Kingston Ave, corner of Deacon Avenue', ',', 'Richmond, SA 5033']",['Auction'],[],[],https://www.realcommercial.com.au/for-sale/property-unit-4-4-kingston-ave-corner-of-deacon-avenue-richmond-sa-5033-503947386,2022-01-29 02:09:34.670074
"['Mintaro Wines, 11 Hector Road', ',', 'Mintaro, SA 5415']","['Offers around $900,000 WIWO']",['2.02 ha (5 acres)'],['1000 m²'],https://www.realcommercial.com.au/for-sale/property-mintaro-wines-11-hector-road-mintaro-sa-5415-503918042,2022-01-29 02:09:34.670074
"['9,10,11 Road Train Drive', ',', 'Two Wells, SA 5501']",['Contact Agent'],['1.54 ha (3.81 acres)'],['Industry'],https://www.realcommercial.com.au/for-sale/property-9-10-11-road-train-drive-two-wells-sa-5501-503222734,2022-01-29 02:09:34.670074
"['Whyalla Industrial Estate, Lot 18, - Bowers Court', ',', 'Whyalla, SA 5600']",['Contact Agent'],['1.26 ha (3.11 acres)'],['12570 m²'],https://www.realcommercial.com.au/for-sale/property-whyalla-industrial-estate-lot-18-bowers-court-whyalla-sa-5600-503547906,2022-01-29 02:09:34.670074
"['22 Paringa Avenue', ',', 'Somerton Park, SA 5044']",['Contact Agent'],['255 m²'],['Whole'],https://www.realcommercial.com.au/for-sale/property-22-paringa-avenue-somerton-park-sa-5044-503924722,2022-01-29 02:09:34.670074
"['Lot 4 Godfrey Street', ',', 'Port Adelaide, SA 5015']",['Price Upon Application'],['689 m²'],['689 m²'],https://www.realcommercial.com.au/for-sale/property-lot-4-godfrey-street-port-adelaide-sa-5015-503957770,2022-01-29 02:09:34.670074
"['Lot 12 Starr Avenue', ',', 'North Plympton, SA 5037']",['Contact Agents for further details'],['1 m²'],['280 m²'],https://www.realcommercial.com.au/for-sale/property-lot-12-starr-avenue-north-plympton-sa-5037-503965534,2022-01-29 02:09:34.670074
"['28 Fifth Street', ',', 'Bowden, SA 5007']",['Please contact agent'],['374 m²'],['Urban Neighbourhood'],https://www.realcommercial.com.au/for-sale/property-28-fifth-street-bowden-sa-5007-503972402,2022-01-29 02:09:34.670074
"['10A Proper Bay Road', ',', 'Port Lincoln, SA 5606']",['Contact Agent'],['3976 m²'],['156 m²'],https://www.realcommercial.com.au/for-sale/property-10a-proper-bay-road-port-lincoln-sa-5606-503385638,2022-01-29 02:09:34.670074
"['16 William Street', ',', 'Mile End South, SA 5031']",['EOI Closing Wed 8/12/21 at 5pm'],['697 m²'],['423 m²'],https://www.realcommercial.com.au/for-sale/property-16-william-street-mile-end-south-sa-5031-503950902,2022-01-29 02:09:34.670074
"['87-89 Verran Terrace', ',', 'Port Lincoln, SA 5606']",['Contact Agent'],['2855 m²'],['1000 m²'],https://www.realcommercial.com.au/for-sale/property-87-89-verran-terrace-port-lincoln-sa-5606-503709182,2022-01-29 02:09:34.670074
"['45 Playford Crescent', ',', 'Salisbury North, SA 5108']",['Contact Agent'],[],[],https://www.realcommercial.com.au/for-sale/property-45-playford-crescent-salisbury-north-sa-5108-503907790,2022-01-29 02:09:34.670074
"['96 South Terrace', ',', 'Wingfield, SA 5013']",['Please contact agent'],['1250 m²'],['650 m²'],https://www.realcommercial.com.au/for-sale/property-96-south-terrace-wingfield-sa-5013-503964166,2022-01-29 02:09:34.670074
"['9 Ralston Road', ',', 'Mount Gambier, SA 5290']",['Please contact agent'],['3700 m²'],['1720 m²'],https://www.realcommercial.com.au/for-sale/property-9-ralston-road-mount-gambier-sa-5290-503960334,2022-01-29 02:09:34.670074
"['14 CARDIFF COURT', ',', 'Cavan, SA 5094']",['EXPRESSIONS OF INTEREST'],['1960 m²'],['703 m²'],https://www.realcommercial.com.au/for-sale/property-14-cardiff-court-cavan-sa-5094-503979290,2022-01-29 02:09:34.670074
"['1 & 3 Bayer Road', ',', 'Elizabeth South, SA 5112']","['Auction On Site, Thursday 24th February at 12.30pm']",['0.45 ha (1.12 acres)'],['1300 m²'],https://www.realcommercial.com.au/for-sale/property-1-3-bayer-road-elizabeth-south-sa-5112-503990859,2022-01-29 02:09:34.670074
"['Lot 220 Valiant Road', ',', 'Tonsley, SA 5042']",['Contact Agent'],['0.56 ha (1.39 acres)'],['5634 m²'],https://www.realcommercial.com.au/for-sale/property-lot-220-valiant-road-tonsley-sa-5042-503701794,2022-01-29 02:09:34.670074
"['1 Shepley Avenue', ',', 'Panorama, SA 5041']",['EOI Closing Friday 10th of December at 4pm'],[],[],https://www.realcommercial.com.au/for-sale/property-1-shepley-avenue-panorama-sa-5041-503947206,2022-01-29 02:09:34.670074
"['385-387 Main North Road', ',', 'Enfield, SA 5085']",['Under Contract'],['1204 m²'],['409 m²'],https://www.realcommercial.com.au/for-sale/property-385-387-main-north-road-enfield-sa-5085-503955642,2022-01-29 02:09:34.670074
"['98-100 Wing Street', ',', 'Wingfield, SA 5013']",['In excess of $1.3 million'],['2766 m²'],['936 m²'],https://www.realcommercial.com.au/for-sale/property-98-100-wing-street-wingfield-sa-5013-503988310,2022-01-29 02:09:34.670074
